"","day","constant","nonLinear"
"1",1,0,0
"2",2,85.8684985279686,257.352776027315
"3",3,171.736997055937,514.200443726207
"4",4,257.605495583906,770.543499273818
"5",5,343.473994111874,1026.38243884729
"6",6,429.342492639843,1281.71775862375
"7",7,515.210991167812,1536.54995478035
"8",8,601.07948969578,1790.87952349423
"9",9,686.947988223749,2044.70696094253
"10",10,772.816486751717,2298.03276330238
"11",11,858.684985279686,2550.85742675094
"12",12,944.553483807654,2803.18144746532
"13",13,1030.42198233562,3055.00532162269
"14",14,1116.29048086359,3306.32954540017
"15",15,1202.15897939156,3557.15461497491
"16",16,1288.02747791953,3807.48102652405
"17",17,1373.8959764475,4057.30927622472
"18",18,1459.76447497547,4306.63986025406
"19",19,1545.63297350343,4555.47327478923
"20",20,1631.5014720314,4803.81001600735
"21",21,1717.36997055937,5051.65058008556
"22",22,1803.23846908734,5298.99546320101
"23",23,1889.10696761531,5545.84516153084
"24",24,1974.97546614328,5792.20017125219
"25",25,2060.84396467125,6038.06098854218
"26",26,2146.71246319922,6283.42810957798
"27",27,2232.58096172718,6528.30203053671
"28",28,2318.44946025515,6772.68324759552
"29",29,2404.31795878312,7016.57225693154
"30",30,2490.18645731109,7259.96955472191
"31",31,2576.05495583906,7502.87563714378
"32",32,2661.92345436703,7745.29100037429
"33",33,2747.79195289499,7987.21614059057
"34",34,2833.66045142296,8228.65155396976
"35",35,2919.52894995093,8469.59773668902
"36",36,3005.3974484789,8710.05518492546
"37",37,3091.26594700687,8950.02439485624
"38",38,3177.13444553484,9189.5058626585
"39",39,3263.00294406281,9428.50008450936
"40",40,3348.87144259078,9667.00755658599
"41",41,3434.73994111874,9905.0287750655
"42",42,3520.60843964671,10142.5642361251
"43",43,3606.47693817468,10379.6144359418
"44",44,3692.34543670265,10616.1798706928
"45",45,3778.21393523062,10852.2610365553
"46",46,3864.08243375859,11087.8584297064
"47",47,3949.95093228655,11322.9725463232
"48",48,4035.81943081452,11557.6038825829
"49",49,4121.68792934249,11791.7529346626
"50",50,4207.55642787046,12025.4201987395
"51",51,4293.42492639843,12258.6061709906
"52",52,4379.2934249264,12491.3113475932
"53",53,4465.16192345437,12723.5362247244
"54",54,4551.03042198234,12955.2812985612
"55",55,4636.8989205103,13186.547065281
"56",56,4722.76741903827,13417.3340210607
"57",57,4808.63591756624,13647.6426620775
"58",58,4894.50441609421,13877.4734845087
"59",59,4980.37291462218,14106.8269845312
"60",60,5066.24141315015,14335.7036583223
"61",61,5152.10991167812,14564.1040020591
"62",62,5237.97841020608,14792.0285119187
"63",63,5323.84690873405,15019.4776840782
"64",64,5409.71540726202,15246.4520147149
"65",65,5495.58390578999,15472.9520000059
"66",66,5581.45240431796,15698.9781361282
"67",67,5667.32090284593,15924.5309192591
"68",68,5753.1894013739,16149.6108455756
"69",69,5839.05789990187,16374.218411255
"70",70,5924.92639842983,16598.3541124743
"71",71,6010.7948969578,16822.0184454107
"72",72,6096.66339548577,17045.2119062413
"73",73,6182.53189401374,17267.9349911433
"74",74,6268.40039254171,17490.1881962938
"75",75,6354.26889106968,17711.97201787
"76",76,6440.13738959764,17933.2869520489
"77",77,6526.00588812561,18154.1334950078
"78",78,6611.87438665358,18374.5121429238
"79",79,6697.74288518155,18594.4233919739
"80",80,6783.61138370952,18813.8677383354
"81",81,6869.47988223749,19032.8456781854
"82",82,6955.34838076546,19251.3577077011
"83",83,7041.21687929342,19469.4043230595
"84",84,7127.08537782139,19686.9860204378
"85",85,7212.95387634936,19904.1032960132
"86",86,7298.82237487733,20120.7566459627
"87",87,7384.6908734053,20336.9465664636
"88",88,7470.55937193327,20552.6735536929
"89",89,7556.42787046123,20767.9381038279
"90",90,7642.2963689892,20982.7407130456
"91",91,7728.16486751717,21197.0818775232
"92",92,7814.03336604514,21410.9620934379
"93",93,7899.90186457311,21624.3818569667
"94",94,7985.77036310108,21837.3416642868
"95",95,8071.63886162905,22049.8420115753
"96",96,8157.50736015701,22261.8833950095
"97",97,8243.37585868499,22473.4663107663
"98",98,8329.24435721295,22684.5912550231
"99",99,8415.11285574092,22895.2587239568
"100",100,8500.98135426889,23105.4692137447
"101",101,8586.84985279686,23315.2232205639
"102",102,8672.71835132483,23524.5212405915
"103",103,8758.5868498528,23733.3637700047
"104",104,8844.45534838076,23941.7513049806
"105",105,8930.32384690874,24149.6843416964
"106",106,9016.1923454367,24357.1633763291
"107",107,9102.06084396467,24564.1889050559
"108",108,9187.92934249264,24770.7614240541
"109",109,9273.79784102061,24976.8814295006
"110",110,9359.66633954858,25182.5494175726
"111",111,9445.53483807654,25387.7658844474
"112",112,9531.40333660451,25592.531326302
"113",113,9617.27183513248,25796.8462393136
"114",114,9703.14033366045,26000.7111196592
"115",115,9789.00883218842,26204.1264635162
"116",116,9874.87733071639,26407.0927670615
"117",117,9960.74582924436,26609.6105264723
"118",118,10046.6143277723,26811.6802379258
"119",119,10132.4828263003,27013.3023975991
"120",120,10218.3513248283,27214.4775016694
"121",121,10304.2198233562,27415.2060463137
"122",122,10390.0883218842,27615.4885277092
"123",123,10475.9568204122,27815.3254420332
"124",124,10561.8253189401,28014.7172854626
"125",125,10647.6938174681,28213.6645541747
"126",126,10733.5623159961,28412.1677443465
"127",127,10819.430814524,28610.2273521553
"128",128,10905.299313052,28807.8438737782
"129",129,10991.16781158,29005.0178053923
"130",130,11077.036310108,29201.7496431747
"131",131,11162.9048086359,29398.0398833025
"132",132,11248.7733071639,29593.8890219531
"133",133,11334.6418056919,29789.2975553034
"134",134,11420.5103042198,29984.2659795305
"135",135,11506.3788027478,30178.7947908118
"136",136,11592.2473012758,30372.8844853242
"137",137,11678.1157998037,30566.535559245
"138",138,11763.9842983317,30759.7485087512
"139",139,11849.8527968597,30952.52383002
"140",140,11935.7212953876,31144.8620192286
"141",141,12021.5897939156,31336.763572554
"142",142,12107.4582924436,31528.2289861735
"143",143,12193.3267909715,31719.2587562641
"144",144,12279.1952894995,31909.853379003
"145",145,12365.0637880275,32100.0133505674
"146",146,12450.9322865554,32289.7391671344
"147",147,12536.8007850834,32479.0313248811
"148",148,12622.6692836114,32667.8903199846
"149",149,12708.5377821394,32856.3166486222
"150",150,12794.4062806673,33044.3108069709
"151",151,12880.2747791953,33231.8732912079
"152",152,12966.1432777233,33419.0045975103
"153",153,13052.0117762512,33605.7052220552
"154",154,13137.8802747792,33791.9756610199
"155",155,13223.7487733072,33977.8164105815
"156",156,13309.6172718351,34163.2279669169
"157",157,13395.4857703631,34348.2108262035
"158",158,13481.3542688911,34532.7654846185
"159",159,13567.222767419,34716.8924383387
"160",160,13653.091265947,34900.5921835416
"161",161,13738.959764475,35083.8652164041
"162",162,13824.8282630029,35266.7120331034
"163",163,13910.6967615309,35449.1331298167
"164",164,13996.5652600589,35631.1290027211
"165",165,14082.4337585868,35812.7001479938
"166",166,14168.3022571148,35993.8470618118
"167",167,14254.1707556428,36174.5702403523
"168",168,14340.0392541708,36354.8701797925
"169",169,14425.9077526987,36534.7473763096
"170",170,14511.7762512267,36714.2023260805
"171",171,14597.6447497547,36893.2355252826
"172",172,14683.5132482826,37071.8474700928
"173",173,14769.3817468106,37250.0386566884
"174",174,14855.2502453386,37427.8095812465
"175",175,14941.1187438665,37605.1607399443
"176",176,15026.9872423945,37782.0926289588
"177",177,15112.8557409225,37958.6057444673
"178",178,15198.7242394504,38134.7005826468
"179",179,15284.5927379784,38310.3776396745
"180",180,15370.4612365064,38485.6374117276
"181",181,15456.3297350343,38660.4803949832
"182",182,15542.1982335623,38834.9070856183
"183",183,15628.0667320903,39008.9179798102
"184",184,15713.9352306182,39182.5135737361
"185",185,15799.8037291462,39355.6943635729
"186",186,15885.6722276742,39528.460845498
"187",187,15971.5407262022,39700.8135156884
"188",188,16057.4092247301,39872.7528703212
"189",189,16143.2777232581,40044.2794055736
"190",190,16229.1462217861,40215.3936176228
"191",191,16315.014720314,40386.0960026458
"192",192,16400.883218842,40556.3870568199
"193",193,16486.75171737,40726.2672763221
"194",194,16572.6202158979,40895.7371573297
"195",195,16658.4887144259,41064.7971960196
"196",196,16744.3572129539,41233.4478885692
"197",197,16830.2257114818,41401.6897311554
"198",198,16916.0942100098,41569.5232199555
"199",199,17001.9627085378,41736.9488511467
"200",200,17087.8312070657,41903.9671209059
"201",201,17173.6997055937,42070.5785254105
"202",202,17259.5682041217,42236.7835608374
"203",203,17345.4367026497,42402.582723364
"204",204,17431.3052011776,42567.9765091671
"205",205,17517.1736997056,42732.9654144242
"206",206,17603.0421982336,42897.5499353122
"207",207,17688.9106967615,43061.7305680084
"208",208,17774.7791952895,43225.5078086898
"209",209,17860.6476938175,43388.8821535336
"210",210,17946.5161923454,43551.854098717
"211",211,18032.3846908734,43714.424140417
"212",212,18118.2531894014,43876.5927748108
